"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 14 16:59:09 IST 2019","Thu Nov 14 16:59:10 IST 2019","447","","Demo Calculator Tests","","Demo Calculator Tests","Subtraction test","Subtraction test",""
"passed","Thu Nov 14 16:59:00 IST 2019","Thu Nov 14 16:59:09 IST 2019","9036","","Demo Calculator Tests","","Demo Calculator Tests","addition test","addition test",""
